VendorName,VenCode,PartNumber,LongDescription,JobberPrice,Cost,UPSable,ExeterQty,TotalQty,CoreCharge,CaseQty,IsNonReturnable,ManufacturerPartNo,HazardousMaterial,Brand
BUSHWACKER,L22,5190802,Extend A Fender: 2005-2006 Dodge Dakota Quad Cab; 1.5 inch of tire coverage; set of four; UV protected; paintable; black finish,489,361.86,TRUE,10,47,0,1,FALSE,51908-02,,BDMQ
BUSHWACKER,L22,58501,94-01 DODG BED CAP W/HLS,114.3,84.58,TRUE,3,33,0,1,FALSE,58501,,BDMQ
BUSHWACKER,L22,58502,94-01 DODG BED CAP NO/HLS,114.3,84.58,TRUE,6,21,0,1,FALSE,58502,,BDMQ
BUSHWACKER,L22,58503,94-01 DODG BED CAP W/HLS,114.3,84.58,TRUE,0,38,0,1,FALSE,58503,,BDMQ
BUSHWACKER,L22,58505,94-01 DODG TAILGT CAP SMT,41,30.34,TRUE,6,48,0,1,FALSE,58505,,BDMQ
BUSHWACKER,L22,58506,02-08 DODG TAILGT CAP SMT,41,30.34,TRUE,34,50,0,1,FALSE,58506,,BDMQ
BUSHWACKER,L22,58507,97-04 DODG BED CAP NO/HLS,114.3,84.58,TRUE,0,6,0,1,FALSE,58507,,BDMQ
BUSHWACKER,L22,58508,97-04 DAKO TAILGT CAP SMT,41,30.34,TRUE,5,35,0,1,FALSE,58508,,BDMQ
BUSHWACKER,L22,58509,00-04 DODG BED CAP NO/HLS,114.3,84.58,TRUE,2,5,0,1,FALSE,58509,,BDMQ
BUSHWACKER,L22,58510,02-08 DODG BED CAP W/HLS,114.3,84.58,TRUE,0,1,0,1,FALSE,58510,,BDMQ
BUSHWACKER,L22,58511,02-08 DODG BED CAP NO/HLS,114.3,84.58,TRUE,2,19,0,1,FALSE,58511,,BDMQ
BUSHWACKER,L22,58512,02-08 DODG BED CAP W/HLS,114.3,84.58,TRUE,0,50,0,1,FALSE,58512,,BDMQ
BUSHWACKER,L22,58513,02-08 DODG BED CAP NO/HLS,114.3,84.58,TRUE,31,50,0,1,FALSE,58513,,BDMQ
BUSHWACKER,L22,59501,94-01 DODG BED CAP W/HLS,114.3,84.58,TRUE,1,21,0,1,FALSE,59501,,BDMQ
