Item #,Category,Sub Category,Product Name,Product Link,Small Image Link,Large Image Link,Size,Dimensional Size,Length,Width,Height,Weight,Color,Detail,SKU,Description,KeyFeatures,MSRP,MAP,Price
64-094821 XXL       ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094821.jpg,https://www.foxoutdoor.com/item_images_lg/64094821.jpg,2XL                                               ,S  M  L  XL  2XL,,,,0.25,USA/Thin Blue Line / Grey,,99598498252,WOMEN'S COTTON TEE USA FLAG/THIN BLUE LINE GREY - XXL , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,17.95,14.95,6.9
64-09483 L          ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409483.jpg,https://www.foxoutdoor.com/item_images_lg/6409483.jpg,L                                                 ,S  M  L  XL  2XL,,,,0.2,Vintage Red Line / Black  ,,99598498313,WOMEN'S COTTON TEE VINTAGE RED LINE BLACK - L         , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-09483 M          ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409483.jpg,https://www.foxoutdoor.com/item_images_lg/6409483.jpg,M                                                 ,S  M  L  XL  2XL,,,,0.2,Vintage Red Line / Black  ,,99598498320,WOMEN'S COTTON TEE VINTAGE RED LINE BLACK - M         , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-09483 S          ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409483.jpg,https://www.foxoutdoor.com/item_images_lg/6409483.jpg,S                                                 ,S  M  L  XL  2XL,,,,0.2,Vintage Red Line / Black  ,,99598498337,WOMEN'S COTTON TEE VINTAGE RED LINE BLACK - S         , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-09483 XL         ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409483.jpg,https://www.foxoutdoor.com/item_images_lg/6409483.jpg,XL                                                ,S  M  L  XL  2XL,,,,0.25,Vintage Red Line / Black  ,,99598498344,WOMEN'S COTTON TEE VINTAGE RED LINE BLACK - XL        , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-09483 XXL        ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409483.jpg,https://www.foxoutdoor.com/item_images_lg/6409483.jpg,2XL                                               ,S  M  L  XL  2XL,,,,0.25,Vintage Red Line / Black  ,,99598498351,WOMEN'S COTTON TEE VINTAGE RED LINE BLACK - XXL       , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,17.95,14.95,6.9
64-094831 L         ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094831.jpg,https://www.foxoutdoor.com/item_images_lg/64094831.jpg,L                                                 ,S  M  L  XL  2XL,,,,0.2,USA/Thin Red Line / Grey,,99598498368,WOMEN'S COTTON TEE USA FLAG/THIN RED LINE GREY - L    , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-094831 M         ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094831.jpg,https://www.foxoutdoor.com/item_images_lg/64094831.jpg,M                                                 ,S  M  L  XL  2XL,,,,0.2,USA/Thin Red Line / Grey,,99598496319,WOMEN'S COTTON TEE USA FLAG/THIN RED LINE GREY - M    , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-094831 S         ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094831.jpg,https://www.foxoutdoor.com/item_images_lg/64094831.jpg,S                                                 ,S  M  L  XL  2XL,,,,0.2,USA/Thin Red Line / Grey,,99598496326,WOMEN'S COTTON TEE USA FLAG/THIN RED LINE GREY - S    , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-094831 XL        ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094831.jpg,https://www.foxoutdoor.com/item_images_lg/64094831.jpg,XL                                                ,S  M  L  XL  2XL,,,,0.25,USA/Thin Red Line / Grey,,99598496333,WOMEN'S COTTON TEE USA FLAG/THIN RED LINE GREY - XL   , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-094831 XXL       ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094831.jpg,https://www.foxoutdoor.com/item_images_lg/64094831.jpg,2XL                                               ,S  M  L  XL  2XL,,,,0.25,USA/Thin Red Line / Grey,,99598496340,WOMEN'S COTTON TEE USA FLAG/THIN RED LINE GREY - XXL  , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,17.95,14.95,6.9
64-094835 L         ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094835.jpg,https://www.foxoutdoor.com/item_images_lg/64094835.jpg,L                                                 ,S  M  L  XL  2XL,,,,0.2,Vintage Blue & Red Line / Black,,99598493516,WOMEN'S COTTON TEE VINTAGE BLUE & RED LINE BLACK - L  , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-094835 M         ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094835.jpg,https://www.foxoutdoor.com/item_images_lg/64094835.jpg,M                                                 ,S  M  L  XL  2XL,,,,0.2,Vintage Blue & Red Line / Black,,99598493523,WOMEN'S COTTON TEE VINTAGE BLUE & RED LINE BLACK - M  , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-094835 S         ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094835.jpg,https://www.foxoutdoor.com/item_images_lg/64094835.jpg,S                                                 ,S  M  L  XL  2XL,,,,0.2,Vintage Blue & Red Line / Black,,99598493530,WOMEN'S COTTON TEE VINTAGE BLUE & RED LINE BLACK - S  , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-094835 XL        ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094835.jpg,https://www.foxoutdoor.com/item_images_lg/64094835.jpg,XL                                                ,S  M  L  XL  2XL,,,,0.25,Vintage Blue & Red Line / Black,,99598493547,WOMEN'S COTTON TEE VINTAGE BLUE & RED LINE BLACK - XL , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-094835 XXL       ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/64094835.jpg,https://www.foxoutdoor.com/item_images_lg/64094835.jpg,2XL                                               ,S  M  L  XL  2XL,,,,0.25,Vintage Blue & Red Line / Black,,99598493554,WOMEN'S COTTON TEE VINTAGE BLUE & RED LINE BLACK - XXL, 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,17.95,14.95,6.9
64-09484 L          ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409484.jpg,https://www.foxoutdoor.com/item_images_lg/6409484.jpg,L                                                 ,S  M  L  XL  2XL,,,,0.2,Vintage Green Line / Black,,99598489410,WOMEN'S COTTON TEE VINTAGE GREEN LINE BLACK - L       , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-09484 M          ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409484.jpg,https://www.foxoutdoor.com/item_images_lg/6409484.jpg,M                                                 ,S  M  L  XL  2XL,,,,0.2,Vintage Green Line / Black,,99598489427,WOMEN'S COTTON TEE VINTAGE GREEN LINE BLACK - M       , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-09484 S          ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409484.jpg,https://www.foxoutdoor.com/item_images_lg/6409484.jpg,S                                                 ,S  M  L  XL  2XL,,,,0.2,Vintage Green Line / Black,,99598489434,WOMEN'S COTTON TEE VINTAGE GREEN LINE BLACK - S       , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-09484 XL         ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409484.jpg,https://www.foxoutdoor.com/item_images_lg/6409484.jpg,XL                                                ,S  M  L  XL  2XL,,,,0.25,Vintage Green Line / Black,,99598489441,WOMEN'S COTTON TEE VINTAGE GREEN LINE BLACK - XL      , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,14.95,11.95,5.9
64-09484 XXL        ,Xtreme Endurance,Thin Line Collection,Women's Cotton Tees,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=172&cscid=1651,https://www.foxoutdoor.com/item_images_sm/6409484.jpg,https://www.foxoutdoor.com/item_images_lg/6409484.jpg,2XL                                               ,S  M  L  XL  2XL,,,,0.25,Vintage Green Line / Black,,99598489458,WOMEN'S COTTON TEE VINTAGE GREEN LINE BLACK - XXL     , 1 x 1 baby-ribbed tee. 100% pre-shrunk combed cotton. Fruit-of-the-loom® “Best” or equivalent. Contoured styling/body hugging fit. ½” binding on neck. ¾” binding on fitted sleeves. ¾” hemmed bottom,17.95,14.95,6.9
64-095 XXL          ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/64095.jpg,https://www.foxoutdoor.com/item_images_lg/64095.jpg,2XL                                               ,S  M  L  XL  2XL,,,,0.25,Marines / Red*,,99598059514,WOMEN'S COTTON TEE MARINES - RED XXL                  ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",17.95,14.95,6.9
64-0950 L           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640950.jpg,https://www.foxoutdoor.com/item_images_lg/640950.jpg,L                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force from Above / Navy,,99598950033,WOMEN'S COTTON TEE AIR FORCE HELP FROM ABOVE NAVY - L ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",13.95,11.95,5.5
64-0950 M           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640950.jpg,https://www.foxoutdoor.com/item_images_lg/640950.jpg,M                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force from Above / Navy,,99598950026,WOMEN'S COTTON TEE AIR FORCE HELP FROM ABOVE NAVY - M ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",13.95,11.95,5.5
64-0950 S           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640950.jpg,https://www.foxoutdoor.com/item_images_lg/640950.jpg,S                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force from Above / Navy,,99598950019,WOMEN'S COTTON TEE AIR FORCE HELP FROM ABOVE NAVY - S ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",13.95,11.95,5.5
64-0950 XL          ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640950.jpg,https://www.foxoutdoor.com/item_images_lg/640950.jpg,XL                                                ,S  M  L  XL  2XL,,,,0.25,Air Force from Above / Navy,,99598950040,WOMEN'S COTTON TEE AIR FORCE HELP FROM ABOVE NAVY - XL," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",13.95,11.95,5.5
64-0950 XXL         ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640950.jpg,https://www.foxoutdoor.com/item_images_lg/640950.jpg,2XL                                               ,S  M  L  XL  2XL,,,,0.25,Air Force from Above / Navy,,99598950057,WOMEN'S COTTON TEE AIR FORCE HELP FROM ABOVE NAVY - XX," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",16.95,13.95,6.5
64-0953 M           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640953.jpg,https://www.foxoutdoor.com/item_images_lg/640953.jpg,M                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force / Black ,,99598029531,WOMEN'S COTTON TEE AIR FORCE BLACK - M                ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",12.95,10.95,4.9
64-0954 L           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640954.jpg,https://www.foxoutdoor.com/item_images_lg/640954.jpg,L                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force / Navy,,99598039547,WOMEN'S COTTON TEE AIR FORCE NAVY - L                 ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",12.95,10.95,4.9
64-0954 M           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640954.jpg,https://www.foxoutdoor.com/item_images_lg/640954.jpg,M                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force / Navy,,99598029548,WOMEN'S COTTON TEE AIR FORCE NAVY - M                 ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",12.95,10.95,4.9
64-0954 S           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640954.jpg,https://www.foxoutdoor.com/item_images_lg/640954.jpg,S                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force / Navy,,99598019549,WOMEN'S COTTON TEE AIR FORCE NAVY - S                 ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",12.95,10.95,4.9
64-0954 XL          ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640954.jpg,https://www.foxoutdoor.com/item_images_lg/640954.jpg,XL                                                ,S  M  L  XL  2XL,,,,0.25,Air Force / Navy,,99598049546,WOMEN'S COTTON TEE AIR FORCE NAVY - XL                ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",12.95,10.95,4.9
64-0954 XXL         ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640954.jpg,https://www.foxoutdoor.com/item_images_lg/640954.jpg,2XL                                               ,S  M  L  XL  2XL,,,,0.25,Air Force / Navy,,99598059545,WOMEN'S COTTON TEE AIR FORCE NAVY - XXL               ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",14.95,11.95,5.9
64-0955 L           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640955.jpg,https://www.foxoutdoor.com/item_images_lg/640955.jpg,L                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force / Grey ,,99598039554,WOMEN'S COTTON TEE AIR FORCE - GREY L                 ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",12.95,10.95,4.9
64-0955 M           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640955.jpg,https://www.foxoutdoor.com/item_images_lg/640955.jpg,M                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force / Grey ,,99598029555,WOMEN'S COTTON TEE AIR FORCE - GREY M                 ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",12.95,10.95,4.9
64-0955 S           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640955.jpg,https://www.foxoutdoor.com/item_images_lg/640955.jpg,S                                                 ,S  M  L  XL  2XL,,,,0.2,Air Force / Grey ,,99598019556,WOMEN'S COTTON TEE AIR FORCE - GREY S                 ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",12.95,10.95,4.9
64-0955 XL          ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640955.jpg,https://www.foxoutdoor.com/item_images_lg/640955.jpg,XL                                                ,S  M  L  XL  2XL,,,,0.25,Air Force / Grey ,,99598049553,WOMEN'S COTTON TEE AIR FORCE - GREY XL                ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",12.95,10.95,4.9
64-0955 XXL         ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640955.jpg,https://www.foxoutdoor.com/item_images_lg/640955.jpg,2XL                                               ,S  M  L  XL  2XL,,,,0.25,Air Force / Grey ,,99598059552,WOMEN'S COTTON TEE AIR FORCE - GREY XXL               ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",14.95,11.95,5.9
64-0956 L           ,Xtreme Endurance,Women's Imprinted Tee Shirts,Women's Cotton Tee's,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=5&ccid=121&cscid=348,https://www.foxoutdoor.com/item_images_sm/640956.jpg,https://www.foxoutdoor.com/item_images_lg/640956.jpg,L                                                 ,S  M  L  XL  2XL,,,,0.2,Love Air Force / Navy ,,99598039561,WOMEN'S COTTON TEE LOVE AIR FORCE - NAVY L            ," 1x1 baby-ribbed tee. 100% pre-shrunk combed cotton. Contoured styling/hugging fit. Fruit-of the-Loom®""Best""or equivalent. ½"" binding on neck and¾""binding on fitted sleeves. ¾"" hemmed bottom. ¾” binding on fitted sleeves",14.95,11.95,5.9
