Item #,Category,Sub Category,Product Name,Product Link,Small Image Link,Large Image Link,Size,Dimensional Size,Length,Width,Height,Weight,Color,Detail,SKU,Description,KeyFeatures,MSRP,MAP,Price
84-0261             ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/840261.jpg,https://www.foxoutdoor.com/item_images_lg/840261.jpg,                                                  ,,,,,0.1,,First Special Forces*,99598840266,3' X 5' FIRST SPECIAL FORCES FLAG - GREEN             , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.5
84-027              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84027.jpg,https://www.foxoutdoor.com/item_images_lg/84027.jpg,                                                  ,,,,,0.1,,US Army Special Forces*,99598840273,3' X 5' US ARMY SPECIAL FORCES FLAG                   , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-028              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84028.jpg,https://www.foxoutdoor.com/item_images_lg/84028.jpg,                                                  ,,,,,0.1,,Camo Army*,99598840280,3' X 5' CAMO ARMY FLAG                                , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-03               ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/8403.jpg,https://www.foxoutdoor.com/item_images_lg/8403.jpg,                                                  ,,,,,0.1,,Navy*,99598840303,3' X 5' US NAVY FLAG                                  , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-032              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84032.jpg,https://www.foxoutdoor.com/item_images_lg/84032.jpg,                                                  ,,,,,0.1,,US Navy,99598840327,3' X 5' NAVY FLAG                                     , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-033              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84033.jpg,https://www.foxoutdoor.com/item_images_lg/84033.jpg,                                                  ,,,,,0.1,,Navy Seabees*,8.22E+11,3' X 5' US NAVY SEABEES FLAG                          , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.5
84-034              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84034.jpg,https://www.foxoutdoor.com/item_images_lg/84034.jpg,                                                  ,,,,,0,,Blue Angels Flag*,99598840341,3' X 5' US NAVY BLUE ANGELS FLAG                      , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.5
84-035              ,Essentials,Flags,2' x 3' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=757,https://www.foxoutdoor.com/item_images_sm/84035.jpg,https://www.foxoutdoor.com/item_images_lg/84035.jpg,                                                  ,,,,,0.1,,Navy*                                                                                               ,8.22E+11,2' X 3' NAVY FLAG                                     , 1-ply construction,11.95,9.95,4.5
84-04               ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/8404.jpg,https://www.foxoutdoor.com/item_images_lg/8404.jpg,                                                  ,,,,,0.1,,US Air Force*,99598840402,3' X 5' US AIR FORCE FLAG                             , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-042              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84042.jpg,https://www.foxoutdoor.com/item_images_lg/84042.jpg,                                                  ,,,,,0.1,,US Air Force*,8.22E+11,3' X 5' US AIR FORCE FLAG                             , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.5
84-043              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84043.jpg,https://www.foxoutdoor.com/item_images_lg/84043.jpg,                                                  ,,,,,0.1,,Air Force Wings*,8.22E+11,"3' X 5' ""NEW"" AIR FORCE FLAG                          ", 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-045              ,Essentials,Flags,2' x 3' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=757,https://www.foxoutdoor.com/item_images_sm/84045.jpg,https://www.foxoutdoor.com/item_images_lg/84045.jpg,                                                  ,,,,,0.1,,Air Force*,99598840457,2' X 3' AIR FORCE FLAG                                , 1-ply construction,11.95,9.95,4.5
84-05               ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/8405.jpg,https://www.foxoutdoor.com/item_images_lg/8405.jpg,                                                  ,,,,,0.1,,Marine Corps,99598840501,3' X 5' U S MARINE CORPS FLAG                         , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-051              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84051.jpg,https://www.foxoutdoor.com/item_images_lg/84051.jpg,                                                  ,,,,,0.1,                                                                                                    ,Served With Pride Marines                                                                           ,99598840518,3' X 5' SERVED WITH PRIDE MARINES FLAG - RED          , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-052              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84052.jpg,https://www.foxoutdoor.com/item_images_lg/84052.jpg,                                                  ,,,,,0.1,,U.S. Marines,99598840525,3' X 5' U S MARINES FLAG                              , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-053              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84053.jpg,https://www.foxoutdoor.com/item_images_lg/84053.jpg,                                                  ,,,,,0.1,,US Marines Camo,99598840532,3' X 5' MARINES CAMO FLAG                             , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-054              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84054.jpg,https://www.foxoutdoor.com/item_images_lg/84054.jpg,                                                  ,,,,,0.1,,Merchant Marines,99598840549,3' X 5' MERCHANT MARINES FLAG - BLUE                  , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-055              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84055.jpg,https://www.foxoutdoor.com/item_images_lg/84055.jpg,                                                  ,,,,,0.1,,USMC Camo,99598840556,3' X 5' USMC - CAMO FLAG                              , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-057              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84057.jpg,https://www.foxoutdoor.com/item_images_lg/84057.jpg,                                                  ,,,,,0.1,,Marines-Served With Pride,99598840570,3' X 5' MARINE SERVED WITH PRIDE FLAG                 , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.75
84-06               ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/8406.jpg,https://www.foxoutdoor.com/item_images_lg/8406.jpg,                                                  ,,,,,0.1,,Coast Guard*,8.22E+11,3' X 5' US COAST GUARD FLAG                           , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,13.95,11.95,5.5
84-062              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84062.jpg,https://www.foxoutdoor.com/item_images_lg/84062.jpg,                                                  ,,,,,0.1,,Army National Guard*,8.22E+11,3' X 5' ARMY NATIONAL GUARD FLAG                      , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,12.95,10.95,4.9
84-063              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84063.jpg,https://www.foxoutdoor.com/item_images_lg/84063.jpg,                                                  ,,,,,0.1,,National Guard*,8.22E+11,3' X 5' NATIONAL GUARD FLAG - ARMY                    , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.5
84-064              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84064.jpg,https://www.foxoutdoor.com/item_images_lg/84064.jpg,                                                  ,,,,,0.1,,US Air National Guard - Blue*,99598840648,3' X 5' US AIR NATIONAL GUARD INSIGNIA FLAG - BLUE    , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,11.95,9.95,4.5
84-065              ,Essentials,Flags,2' x 3' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=757,https://www.foxoutdoor.com/item_images_sm/84065.jpg,https://www.foxoutdoor.com/item_images_lg/84065.jpg,                                                  ,,,,,0.1,,Coast Guard*                                                         ,8.22E+11,2' X 3' COAST GUARD FLAG                              , 1-ply construction,9.95,7.95,3.75
84-07               ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/8407.jpg,https://www.foxoutdoor.com/item_images_lg/8407.jpg,                                                  ,,,,,0.1,,POW/MIA,8.22E+11,3' X 5' POW / MIA FLAG                                , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,10.95,8.95,4.25
84-071              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84071.jpg,https://www.foxoutdoor.com/item_images_lg/84071.jpg,                                                  ,,,,,0.1,,POW/MIA,8.22E+11,3' X 5' POW / MIA FLAG ( RED)                         , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,10.95,8.95,4.25
84-072              ,Essentials,Flags,2' x 3' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=757,https://www.foxoutdoor.com/item_images_sm/84072.jpg,https://www.foxoutdoor.com/item_images_lg/84072.jpg,                                                  ,,,,,0.1,,POW/MIA,99598840723,2' x 3' POW / MIA FLAG                                , 1-ply construction,9.95,7.95,3.75
84-075              ,Essentials,Flags,3' x 5' Flags,https://www.foxoutdoor.com/ItemDetails2015.aspx?cid=7&ccid=102&cscid=756,https://www.foxoutdoor.com/item_images_sm/84075.jpg,https://www.foxoutdoor.com/item_images_lg/84075.jpg,                                                  ,,,,,0.1,,POW/MIA,8.22E+11,3' X 5' POW / MIA FLAG - BRING HOME NOW               , 1-ply construction. Made of Super-Polyester. Canvas header. Complete with brass grommets,10.95,8.95,4.25
